Id,E-mail,Логин,Пароль,Role
1,Radinka100@yandex.ru,Vlas86,b3uWS6#Thuvq,1
2,Prohor156@list.ru,Prohor156,zDdom}SIhWs?,1
3,YUrin155@gmail.com,YUrin155,u@m*~ACBCqNQ,1
4,Aljbina33@lenta.ru,Aljbina33,Bu?BHCtwDFin,1
5,Klavdiya113@live.com,Klavdiya113,FjC#hNIJori},1
6,Tamara179@live.com,Tamara179,TJxVqMXrbesI,1
7,Taras24@rambler.ru,Taras24,07m5yspn3K~K,1
8,Arkadij123@inbox.ru,Arkadij123,vk2N7lxX}ck%,2
9,Glafira73@outlook.com,Glafira73,Zz8POQlP}M4~,2
10,Gavriila68@msn.com,Gavriila68,x4K5WthEe8ua,2
11,Kuzjma124@yandex.ru,Kuzjma124,OsByQJ}vYznW,2
12,Roman89@gmail.com,Roman89,Xd?xP$2yICcG,1
13,Aleksej43@gmail.com,Aleksej43,~c%PlTY0?qgl,1
14,Nadezhda137@outlook.com,Nadezhda137,QQ~0q~rXHb?p,1
15,Bronislava56@yahoo.com,Bronislava56,LO}xyC~1S4l6,1
